id,product_name,category,original_price,sale_price,image_url,affiliate_link,sold_count,tier,description,shop_name
prod_031,Sơ sinh quần short,me-be,320000,149000,https://via.placeholder.com/300?text=Quan+Sơ+Sinh,https://shopee.vn/product/031,14560,n1,Quần short thoáng mát cho bé,Mom Baby Store
prod_032,Đồ chơi xếp hình,me-be,280000,139000,https://via.placeholder.com/300?text=Do+Choi+Xep,https://shopee.vn/product/032,8930,n1,Đồ chơi phát triển trí tuệ,Mom Baby Store
prod_033,Rau sạch hữu cơ,do-an,120000,59000,https://via.placeholder.com/300?text=Rau+Sach,https://shopee.vn/product/033,12340,n1,Rau sạch trồng hữu cơ,Fresh Food
prod_034,Cá hồi nhập khẩu,do-an,680000,379000,https://via.placeholder.com/300?text=Ca+Hoi+NK,https://shopee.vn/product/034,5680,n1,Cá hồi tươi sống,Fresh Food
prod_035,Truyện tranh Conan,sach-vo,85000,39000,https://via.placeholder.com/300?text=Conan,https://shopee.vn/product/035,9870,n2,Truyện tranh Conan full bộ,Reader Zone
prod_036,Sách kỹ năng sống,sach-vo,180000,99000,https://via.placeholder.com/300?text=Ky+Nang+Song,https://shopee.vn/product/036,4230,n2,Sách phát triển kỹ năng sống,Reader Zone
prod_037,Áo khoác kaki nữ,thoi-trang,480000,259000,https://via.placeholder.com/300?text=Ao+Khoac,https://shopee.vn/product/037,6780,n2,Áo khoác thời trang mùa lạnh,Trendy Wear
prod_038,Giày búp bê nữ,thoi-trang,650000,349000,https://via.placeholder.com/300?text=Giay+Bup+Be,https://shopee.vn/product/038,5230,n2,Giày búp bê thoải mái,Trendy Wear
prod_039,Loa Bluetooth JBL,dien-tu,2100000,999000,https://via.placeholder.com/300?text=Loa+JBL,https://shopee.vn/product/039,4890,n1,Loa Bluetooth âm thanh chuẩn,Digital Pro
prod_040,Pin dự phòng 20000mAh,dien-tu,450000,199000,https://via.placeholder.com/300?text=Pin+Du+Phong,https://shopee.vn/product/040,8930,n1,Pin sạc nhanh 5V,Digital Pro
prod_041,Mascara dài mi,my-pham,380000,189000,https://via.placeholder.com/300?text=Mascara,https://shopee.vn/product/041,7620,n1,Mascara chống nước,Glamour Beauty
prod_042,Phấn nền BB cream,my-pham,320000,149000,https://via.placeholder.com/300?text=BB+Cream,https://shopee.vn/product/042,9230,n1,BB cream che phủ tự nhiên,Glamour Beauty
prod_043,Tủ âm tường,nha-cua,3200000,1599000,https://via.placeholder.com/300?text=Tu+Am+Tuong,https://shopee.vn/product/043,1230,n2,Tủ âm tường nhôm cao cấp,Living Comfort
prod_044,Rèm cửa vải,nha-cua,580000,299000,https://via.placeholder.com/300?text=Rem+Cua,https://shopee.vn/product/044,3450,n2,Rèm cửa chống nắng,Living Comfort
prod_045,Nước tăm lên men,suc-khoe,280000,139000,https://via.placeholder.com/300?text=Nuoc+Tam+Len+Men,https://shopee.vn/product/045,10230,n1,Nước tắm lên men khoáng,Health First
prod_046,Kem chống nắng SPF50,suc-khoe,420000,219000,https://via.placeholder.com/300?text=Kem+Chong+Nang,https://shopee.vn/product/046,8940,n1,Kem chống nắng bảo vệ tối đa,Health First
prod_047,Vali du lịch 24 inch,the-thao,1200000,599000,https://via.placeholder.com/300?text=Vali+Du+Lich,https://shopee.vn/product/047,4210,n3,Vali nhẹ bền đẹp,Active Sports
prod_048,Giạn tạ tay,the-thao,680000,349000,https://via.placeholder.com/300?text=Gia+Ta+Tay,https://shopee.vn/product/048,2890,n3,Giạn tạ điều chỉnh cân nặng,Active Sports
prod_049,Bộ đồ ngủ trẻ em,me-be,280000,129000,https://via.placeholder.com/300?text=Do+Ngu+Tre+Em,https://shopee.vn/product/049,13450,n1,Bộ đồ ngủ cotton mềm,Kids World
prod_050,Gấu bông lớn,me-be,450000,229000,https://via.placeholder.com/300?text=Gau+Bong+Lon,https://shopee.vn/product/050,11230,n1,Gấu bông siêu mềm mại,Kids World
